text,label
Man grows wings after eating genetically modified chicken,0
Electric vehicles to receive subsidies under new policy,1
Electric vehicles to receive subsidies under new policy,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
New education policy to focus on digital learning,1
Space agency schedules new mission to the moon,1
Global climate summit focuses on carbon neutrality,1
Electric vehicles to receive subsidies under new policy,1
Scientists discover a way to reverse aging,0
Vaccination drive expanded to rural districts,1
Global climate summit focuses on carbon neutrality,1
Global climate summit focuses on carbon neutrality,1
Government launches new scheme to support agriculture sector,1
Time traveler arrested for predicting lottery numbers,0
Government launches new scheme to support agriculture sector,1
Man grows wings after eating genetically modified chicken,0
New highway project to reduce travel time by 50%,1
Scientists discover a way to reverse aging,0
Time traveler arrested for predicting lottery numbers,0
Global climate summit focuses on carbon neutrality,1
"Moon turns green due to alien gases, reports say",0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Government launches new scheme to support agriculture sector,1
"Aliens landed in New York yesterday, witnesses claim",0
Scientists develop vaccine for rare tropical disease,1
Man grows wings after eating genetically modified chicken,0
Politician says earth is flat and supported by turtles,0
Tech company releases innovative AI-powered assistant,1
"Drinking coffee makes you invisible, study finds",0
"Drinking coffee makes you invisible, study finds",0
Scientists develop vaccine for rare tropical disease,1
Scientists develop vaccine for rare tropical disease,1
Tech company releases innovative AI-powered assistant,1
Electric vehicles to receive subsidies under new policy,1
Man grows wings after eating genetically modified chicken,0
Global climate summit focuses on carbon neutrality,1
Vaccination drive expanded to rural districts,1
Politician says earth is flat and supported by turtles,0
New education policy to focus on digital learning,1
Government building UFO landing pad in secret,0
Space agency schedules new mission to the moon,1
New education policy to focus on digital learning,1
Scientists develop vaccine for rare tropical disease,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
Facebook shuts down AI that invented its own language,0
Man grows wings after eating genetically modified chicken,0
Tech company releases innovative AI-powered assistant,1
Government launches new scheme to support agriculture sector,1
Politician says earth is flat and supported by turtles,0
"Moon turns green due to alien gases, reports say",0
Vaccination drive expanded to rural districts,1
Scientists develop vaccine for rare tropical disease,1
Scientists discover a way to reverse aging,0
Scientists discover a way to reverse aging,0
Man grows wings after eating genetically modified chicken,0
Facebook shuts down AI that invented its own language,0
"Moon turns green due to alien gases, reports say",0
Time traveler arrested for predicting lottery numbers,0
"Aliens landed in New York yesterday, witnesses claim",0
Government building UFO landing pad in secret,0
Politician says earth is flat and supported by turtles,0
Government building UFO landing pad in secret,0
Tech company releases innovative AI-powered assistant,1
Vaccination drive expanded to rural districts,1
Time traveler arrested for predicting lottery numbers,0
Politician says earth is flat and supported by turtles,0
Government launches new scheme to support agriculture sector,1
Time traveler arrested for predicting lottery numbers,0
"Drinking coffee makes you invisible, study finds",0
Politician says earth is flat and supported by turtles,0
Government building UFO landing pad in secret,0
New education policy to focus on digital learning,1
Tech company releases innovative AI-powered assistant,1
Space agency schedules new mission to the moon,1
Time traveler arrested for predicting lottery numbers,0
Politician says earth is flat and supported by turtles,0
Vaccination drive expanded to rural districts,1
Facebook shuts down AI that invented its own language,0
"Aliens landed in New York yesterday, witnesses claim",0
Scientists discover a way to reverse aging,0
Electric vehicles to receive subsidies under new policy,1
Government launches new scheme to support agriculture sector,1
Space agency schedules new mission to the moon,1
Space agency schedules new mission to the moon,1
Finance minister announces budget reforms for middle class,1
Space agency schedules new mission to the moon,1
Finance minister announces budget reforms for middle class,1
Time traveler arrested for predicting lottery numbers,0
Politician says earth is flat and supported by turtles,0
Global climate summit focuses on carbon neutrality,1
Time traveler arrested for predicting lottery numbers,0
"Aliens landed in New York yesterday, witnesses claim",0
Government launches new scheme to support agriculture sector,1
Facebook shuts down AI that invented its own language,0
"Drinking coffee makes you invisible, study finds",0
Government launches new scheme to support agriculture sector,1
Government launches new scheme to support agriculture sector,1
Politician says earth is flat and supported by turtles,0
Politician says earth is flat and supported by turtles,0
Man grows wings after eating genetically modified chicken,0
Vaccination drive expanded to rural districts,1
New education policy to focus on digital learning,1
Time traveler arrested for predicting lottery numbers,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Man grows wings after eating genetically modified chicken,0
Tech company releases innovative AI-powered assistant,1
Government launches new scheme to support agriculture sector,1
Vaccination drive expanded to rural districts,1
Tech company releases innovative AI-powered assistant,1
"Aliens landed in New York yesterday, witnesses claim",0
New education policy to focus on digital learning,1
"Moon turns green due to alien gases, reports say",0
"Aliens landed in New York yesterday, witnesses claim",0
Vaccination drive expanded to rural districts,1
Global climate summit focuses on carbon neutrality,1
Global climate summit focuses on carbon neutrality,1
New highway project to reduce travel time by 50%,1
Time traveler arrested for predicting lottery numbers,0
Global climate summit focuses on carbon neutrality,1
Government building UFO landing pad in secret,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Man grows wings after eating genetically modified chicken,0
New education policy to focus on digital learning,1
Electric vehicles to receive subsidies under new policy,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
Man grows wings after eating genetically modified chicken,0
New education policy to focus on digital learning,1
Politician says earth is flat and supported by turtles,0
New highway project to reduce travel time by 50%,1
Government launches new scheme to support agriculture sector,1
New education policy to focus on digital learning,1
Government launches new scheme to support agriculture sector,1
Politician says earth is flat and supported by turtles,0
Scientists discover a way to reverse aging,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Vaccination drive expanded to rural districts,1
Politician says earth is flat and supported by turtles,0
Tech company releases innovative AI-powered assistant,1
Man grows wings after eating genetically modified chicken,0
"Moon turns green due to alien gases, reports say",0
Electric vehicles to receive subsidies under new policy,1
Tech company releases innovative AI-powered assistant,1
Scientists develop vaccine for rare tropical disease,1
Vaccination drive expanded to rural districts,1
"Moon turns green due to alien gases, reports say",0
Tech company releases innovative AI-powered assistant,1
Space agency schedules new mission to the moon,1
Facebook shuts down AI that invented its own language,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
"Drinking coffee makes you invisible, study finds",0
Electric vehicles to receive subsidies under new policy,1
"Aliens landed in New York yesterday, witnesses claim",0
New education policy to focus on digital learning,1
Finance minister announces budget reforms for middle class,1
Global climate summit focuses on carbon neutrality,1
Tech company releases innovative AI-powered assistant,1
"Drinking coffee makes you invisible, study finds",0
Man grows wings after eating genetically modified chicken,0
Politician says earth is flat and supported by turtles,0
Government building UFO landing pad in secret,0
Electric vehicles to receive subsidies under new policy,1
Scientists discover a way to reverse aging,0
Global climate summit focuses on carbon neutrality,1
Vaccination drive expanded to rural districts,1
"Aliens landed in New York yesterday, witnesses claim",0
Government building UFO landing pad in secret,0
Government launches new scheme to support agriculture sector,1
Time traveler arrested for predicting lottery numbers,0
"Drinking coffee makes you invisible, study finds",0
Man grows wings after eating genetically modified chicken,0
Time traveler arrested for predicting lottery numbers,0
Space agency schedules new mission to the moon,1
Scientists discover a way to reverse aging,0
Government building UFO landing pad in secret,0
Finance minister announces budget reforms for middle class,1
Space agency schedules new mission to the moon,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
New highway project to reduce travel time by 50%,1
Politician says earth is flat and supported by turtles,0
Facebook shuts down AI that invented its own language,0
Politician says earth is flat and supported by turtles,0
Government building UFO landing pad in secret,0
Finance minister announces budget reforms for middle class,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
"Aliens landed in New York yesterday, witnesses claim",0
Finance minister announces budget reforms for middle class,1
Scientists develop vaccine for rare tropical disease,1
Scientists discover a way to reverse aging,0
Politician says earth is flat and supported by turtles,0
Finance minister announces budget reforms for middle class,1
Vaccination drive expanded to rural districts,1
Global climate summit focuses on carbon neutrality,1
Politician says earth is flat and supported by turtles,0
Tech company releases innovative AI-powered assistant,1
Space agency schedules new mission to the moon,1
Scientists discover a way to reverse aging,0
Government launches new scheme to support agriculture sector,1
Space agency schedules new mission to the moon,1
Man grows wings after eating genetically modified chicken,0
Facebook shuts down AI that invented its own language,0
"Aliens landed in New York yesterday, witnesses claim",0
Space agency schedules new mission to the moon,1
"Aliens landed in New York yesterday, witnesses claim",0
Time traveler arrested for predicting lottery numbers,0
"Drinking coffee makes you invisible, study finds",0
Facebook shuts down AI that invented its own language,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Finance minister announces budget reforms for middle class,1
Scientists develop vaccine for rare tropical disease,1
Electric vehicles to receive subsidies under new policy,1
Government building UFO landing pad in secret,0
Scientists discover a way to reverse aging,0
Global climate summit focuses on carbon neutrality,1
"Drinking coffee makes you invisible, study finds",0
"Aliens landed in New York yesterday, witnesses claim",0
Space agency schedules new mission to the moon,1
"Drinking coffee makes you invisible, study finds",0
Time traveler arrested for predicting lottery numbers,0
"Moon turns green due to alien gases, reports say",0
Space agency schedules new mission to the moon,1
Scientists discover a way to reverse aging,0
Government building UFO landing pad in secret,0
Tech company releases innovative AI-powered assistant,1
Tech company releases innovative AI-powered assistant,1
"Drinking coffee makes you invisible, study finds",0
Finance minister announces budget reforms for middle class,1
"Aliens landed in New York yesterday, witnesses claim",0
Global climate summit focuses on carbon neutrality,1
Man grows wings after eating genetically modified chicken,0
Finance minister announces budget reforms for middle class,1
Scientists develop vaccine for rare tropical disease,1
Government launches new scheme to support agriculture sector,1
Scientists develop vaccine for rare tropical disease,1
Tech company releases innovative AI-powered assistant,1
Scientists develop vaccine for rare tropical disease,1
New highway project to reduce travel time by 50%,1
Government launches new scheme to support agriculture sector,1
Space agency schedules new mission to the moon,1
Government building UFO landing pad in secret,0
Tech company releases innovative AI-powered assistant,1
Space agency schedules new mission to the moon,1
Facebook shuts down AI that invented its own language,0
Time traveler arrested for predicting lottery numbers,0
Finance minister announces budget reforms for middle class,1
Space agency schedules new mission to the moon,1
New highway project to reduce travel time by 50%,1
Facebook shuts down AI that invented its own language,0
Facebook shuts down AI that invented its own language,0
Politician says earth is flat and supported by turtles,0
New education policy to focus on digital learning,1
Time traveler arrested for predicting lottery numbers,0
Man grows wings after eating genetically modified chicken,0
New highway project to reduce travel time by 50%,1
Man grows wings after eating genetically modified chicken,0
"Aliens landed in New York yesterday, witnesses claim",0
New education policy to focus on digital learning,1
Electric vehicles to receive subsidies under new policy,1
Man grows wings after eating genetically modified chicken,0
New education policy to focus on digital learning,1
Government building UFO landing pad in secret,0
Vaccination drive expanded to rural districts,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
Space agency schedules new mission to the moon,1
Space agency schedules new mission to the moon,1
Tech company releases innovative AI-powered assistant,1
Vaccination drive expanded to rural districts,1
New education policy to focus on digital learning,1
Time traveler arrested for predicting lottery numbers,0
New highway project to reduce travel time by 50%,1
Government building UFO landing pad in secret,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Tech company releases innovative AI-powered assistant,1
Scientists discover a way to reverse aging,0
Politician says earth is flat and supported by turtles,0
Finance minister announces budget reforms for middle class,1
"Drinking coffee makes you invisible, study finds",0
Facebook shuts down AI that invented its own language,0
Man grows wings after eating genetically modified chicken,0
Government launches new scheme to support agriculture sector,1
Space agency schedules new mission to the moon,1
Tech company releases innovative AI-powered assistant,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
"Moon turns green due to alien gases, reports say",0
Vaccination drive expanded to rural districts,1
"Drinking coffee makes you invisible, study finds",0
New education policy to focus on digital learning,1
Man grows wings after eating genetically modified chicken,0
Man grows wings after eating genetically modified chicken,0
Scientists develop vaccine for rare tropical disease,1
Facebook shuts down AI that invented its own language,0
Electric vehicles to receive subsidies under new policy,1
Time traveler arrested for predicting lottery numbers,0
Facebook shuts down AI that invented its own language,0
Vaccination drive expanded to rural districts,1
Space agency schedules new mission to the moon,1
Tech company releases innovative AI-powered assistant,1
Facebook shuts down AI that invented its own language,0
Facebook shuts down AI that invented its own language,0
"Moon turns green due to alien gases, reports say",0
"Drinking coffee makes you invisible, study finds",0
Time traveler arrested for predicting lottery numbers,0
Facebook shuts down AI that invented its own language,0
Scientists discover a way to reverse aging,0
Finance minister announces budget reforms for middle class,1
Vaccination drive expanded to rural districts,1
Government building UFO landing pad in secret,0
Government building UFO landing pad in secret,0
Scientists develop vaccine for rare tropical disease,1
Man grows wings after eating genetically modified chicken,0
Government building UFO landing pad in secret,0
Scientists discover a way to reverse aging,0
Electric vehicles to receive subsidies under new policy,1
"Moon turns green due to alien gases, reports say",0
Scientists discover a way to reverse aging,0
Global climate summit focuses on carbon neutrality,1
Tech company releases innovative AI-powered assistant,1
Finance minister announces budget reforms for middle class,1
Finance minister announces budget reforms for middle class,1
Global climate summit focuses on carbon neutrality,1
Tech company releases innovative AI-powered assistant,1
Politician says earth is flat and supported by turtles,0
Government launches new scheme to support agriculture sector,1
New education policy to focus on digital learning,1
Space agency schedules new mission to the moon,1
Vaccination drive expanded to rural districts,1
Government launches new scheme to support agriculture sector,1
New education policy to focus on digital learning,1
Space agency schedules new mission to the moon,1
Finance minister announces budget reforms for middle class,1
Politician says earth is flat and supported by turtles,0
Scientists discover a way to reverse aging,0
New highway project to reduce travel time by 50%,1
Space agency schedules new mission to the moon,1
Space agency schedules new mission to the moon,1
Scientists develop vaccine for rare tropical disease,1
"Drinking coffee makes you invisible, study finds",0
Vaccination drive expanded to rural districts,1
Time traveler arrested for predicting lottery numbers,0
New education policy to focus on digital learning,1
Finance minister announces budget reforms for middle class,1
Politician says earth is flat and supported by turtles,0
Scientists develop vaccine for rare tropical disease,1
Scientists develop vaccine for rare tropical disease,1
Electric vehicles to receive subsidies under new policy,1
"Drinking coffee makes you invisible, study finds",0
Facebook shuts down AI that invented its own language,0
Politician says earth is flat and supported by turtles,0
Vaccination drive expanded to rural districts,1
Time traveler arrested for predicting lottery numbers,0
Finance minister announces budget reforms for middle class,1
Global climate summit focuses on carbon neutrality,1
Facebook shuts down AI that invented its own language,0
Time traveler arrested for predicting lottery numbers,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Global climate summit focuses on carbon neutrality,1
Finance minister announces budget reforms for middle class,1
"Moon turns green due to alien gases, reports say",0
Man grows wings after eating genetically modified chicken,0
New highway project to reduce travel time by 50%,1
Politician says earth is flat and supported by turtles,0
New highway project to reduce travel time by 50%,1
"Aliens landed in New York yesterday, witnesses claim",0
Finance minister announces budget reforms for middle class,1
"Drinking coffee makes you invisible, study finds",0
"Moon turns green due to alien gases, reports say",0
Scientists discover a way to reverse aging,0
Space agency schedules new mission to the moon,1
"Moon turns green due to alien gases, reports say",0
Government launches new scheme to support agriculture sector,1
Electric vehicles to receive subsidies under new policy,1
Finance minister announces budget reforms for middle class,1
"Aliens landed in New York yesterday, witnesses claim",0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Finance minister announces budget reforms for middle class,1
Vaccination drive expanded to rural districts,1
New highway project to reduce travel time by 50%,1
"Drinking coffee makes you invisible, study finds",0
Government building UFO landing pad in secret,0
Politician says earth is flat and supported by turtles,0
Electric vehicles to receive subsidies under new policy,1
Space agency schedules new mission to the moon,1
Time traveler arrested for predicting lottery numbers,0
Man grows wings after eating genetically modified chicken,0
Scientists discover a way to reverse aging,0
Government launches new scheme to support agriculture sector,1
Scientists discover a way to reverse aging,0
"Drinking coffee makes you invisible, study finds",0
Finance minister announces budget reforms for middle class,1
Finance minister announces budget reforms for middle class,1
Government building UFO landing pad in secret,0
Facebook shuts down AI that invented its own language,0
New education policy to focus on digital learning,1
Scientists discover a way to reverse aging,0
New education policy to focus on digital learning,1
"Drinking coffee makes you invisible, study finds",0
"Aliens landed in New York yesterday, witnesses claim",0
"Drinking coffee makes you invisible, study finds",0
Government building UFO landing pad in secret,0
"Moon turns green due to alien gases, reports say",0
"Drinking coffee makes you invisible, study finds",0
Government launches new scheme to support agriculture sector,1
Government launches new scheme to support agriculture sector,1
"Drinking coffee makes you invisible, study finds",0
Government building UFO landing pad in secret,0
Time traveler arrested for predicting lottery numbers,0
Government launches new scheme to support agriculture sector,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
"Aliens landed in New York yesterday, witnesses claim",0
Time traveler arrested for predicting lottery numbers,0
Time traveler arrested for predicting lottery numbers,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
New highway project to reduce travel time by 50%,1
Space agency schedules new mission to the moon,1
Time traveler arrested for predicting lottery numbers,0
Space agency schedules new mission to the moon,1
Time traveler arrested for predicting lottery numbers,0
Vaccination drive expanded to rural districts,1
New education policy to focus on digital learning,1
Man grows wings after eating genetically modified chicken,0
"Drinking coffee makes you invisible, study finds",0
Tech company releases innovative AI-powered assistant,1
Man grows wings after eating genetically modified chicken,0
Electric vehicles to receive subsidies under new policy,1
Tech company releases innovative AI-powered assistant,1
New education policy to focus on digital learning,1
"Moon turns green due to alien gases, reports say",0
"Drinking coffee makes you invisible, study finds",0
Electric vehicles to receive subsidies under new policy,1
Electric vehicles to receive subsidies under new policy,1
Vaccination drive expanded to rural districts,1
Government launches new scheme to support agriculture sector,1
Time traveler arrested for predicting lottery numbers,0
"Drinking coffee makes you invisible, study finds",0
"Aliens landed in New York yesterday, witnesses claim",0
"Moon turns green due to alien gases, reports say",0
Politician says earth is flat and supported by turtles,0
Global climate summit focuses on carbon neutrality,1
Finance minister announces budget reforms for middle class,1
Electric vehicles to receive subsidies under new policy,1
Facebook shuts down AI that invented its own language,0
Politician says earth is flat and supported by turtles,0
"Drinking coffee makes you invisible, study finds",0
Government launches new scheme to support agriculture sector,1
New education policy to focus on digital learning,1
"Moon turns green due to alien gases, reports say",0
Scientists develop vaccine for rare tropical disease,1
New highway project to reduce travel time by 50%,1
Government launches new scheme to support agriculture sector,1
Electric vehicles to receive subsidies under new policy,1
Time traveler arrested for predicting lottery numbers,0
Electric vehicles to receive subsidies under new policy,1
Scientists discover a way to reverse aging,0
Finance minister announces budget reforms for middle class,1
Scientists discover a way to reverse aging,0
Scientists discover a way to reverse aging,0
"Moon turns green due to alien gases, reports say",0
Government building UFO landing pad in secret,0
Scientists develop vaccine for rare tropical disease,1
"Drinking coffee makes you invisible, study finds",0
Scientists develop vaccine for rare tropical disease,1
"Moon turns green due to alien gases, reports say",0
Facebook shuts down AI that invented its own language,0
Tech company releases innovative AI-powered assistant,1
New education policy to focus on digital learning,1
Vaccination drive expanded to rural districts,1
Government launches new scheme to support agriculture sector,1
Celebrity claims to be reincarnation of ancient Pharaoh,0
Global climate summit focuses on carbon neutrality,1
Government launches new scheme to support agriculture sector,1
New education policy to focus on digital learning,1
Vaccination drive expanded to rural districts,1
Finance minister announces budget reforms for middle class,1
Facebook shuts down AI that invented its own language,0
Politician says earth is flat and supported by turtles,0
Government building UFO landing pad in secret,0
Scientists discover a way to reverse aging,0
Facebook shuts down AI that invented its own language,0
Scientists develop vaccine for rare tropical disease,1
Scientists develop vaccine for rare tropical disease,1
Time traveler arrested for predicting lottery numbers,0
New education policy to focus on digital learning,1
"Aliens landed in New York yesterday, witnesses claim",0
Electric vehicles to receive subsidies under new policy,1
Government launches new scheme to support agriculture sector,1
Man grows wings after eating genetically modified chicken,0
Time traveler arrested for predicting lottery numbers,0
Celebrity claims to be reincarnation of ancient Pharaoh,0
Vaccination drive expanded to rural districts,1
New education policy to focus on digital learning,1
Scientists develop vaccine for rare tropical disease,1
Tech company releases innovative AI-powered assistant,1
Politician says earth is flat and supported by turtles,0
Global climate summit focuses on carbon neutrality,1
Space agency schedules new mission to the moon,1
"Aliens landed in New York yesterday, witnesses claim",0
Scientists develop vaccine for rare tropical disease,1
"Moon turns green due to alien gases, reports say",0
New education policy to focus on digital learning,1
Finance minister announces budget reforms for middle class,1
Finance minister announces budget reforms for middle class,1
